SYMBOL,cell,type
SIGLEC1,IFN,tissue
SP110,IFN,tissue
SPATS2L,IFN,tissue
STAT1,IFN,tissue
STAT2,IFN,tissue
TAP1,IFN,tissue
TDRD7,IFN,tissue
TNFSF10,IFN,tissue
TOR1B,IFN,tissue
TRAFD1,IFN,tissue
TRIM21,IFN,tissue
TRIM22,IFN,tissue
TRIM38,IFN,tissue
TRIM5,IFN,tissue
TRIM6,IFN,tissue
UBE2L6,IFN,tissue
USP18,IFN,tissue
XAF1,IFN,tissue
ZBP1,IFN,tissue
ZCCHC2,IFN,tissue
ZNFX1,IFN,tissue
ADAMDEC1,Macrophages/Dendritic cells,tissue
ADORA3,Macrophages/Dendritic cells,tissue
AOAH,Macrophages/Dendritic cells,tissue
ARRB2,Macrophages/Dendritic cells,tissue
ATP8B4,Macrophages/Dendritic cells,tissue
BCL2A1,Macrophages/Dendritic cells,tissue
C1orf54,Macrophages/Dendritic cells,tissue
C1QA,Macrophages/Dendritic cells,tissue
C1QB,Macrophages/Dendritic cells,tissue
C2,Macrophages/Dendritic cells,tissue
C3AR1,Macrophages/Dendritic cells,tissue
C5AR1,Macrophages/Dendritic cells,tissue
CCR1,Macrophages/Dendritic cells,tissue
CCRL2,Macrophages/Dendritic cells,tissue
CD163,Macrophages/Dendritic cells,tissue
CD300A,Macrophages/Dendritic cells,tissue
CD4,Macrophages/Dendritic cells,tissue
CD68,Macrophages/Dendritic cells,tissue
CD74,Macrophages/Dendritic cells,tissue
CD86,Macrophages/Dendritic cells,tissue
CECR1,Macrophages/Dendritic cells,tissue
CLEC7A,Macrophages/Dendritic cells,tissue
CMKLR1,Macrophages/Dendritic cells,tissue
CSF1R,Macrophages/Dendritic cells,tissue
CSF2RB,Macrophages/Dendritic cells,tissue
CTSB,Macrophages/Dendritic cells,tissue
CTSS,Macrophages/Dendritic cells,tissue
CYBB,Macrophages/Dendritic cells,tissue
CYTH4,Macrophages/Dendritic cells,tissue
DPYD,Macrophages/Dendritic cells,tissue
EMR2,Macrophages/Dendritic cells,tissue
FCER1G,Macrophages/Dendritic cells,tissue
FCGR1A,Macrophages/Dendritic cells,tissue
FCGR1B,Macrophages/Dendritic cells,tissue
FCGR2A,Macrophages/Dendritic cells,tissue
FCGR3B,Macrophages/Dendritic cells,tissue
FPR3,Macrophages/Dendritic cells,tissue
GPNMB,Macrophages/Dendritic cells,tissue
HK3,Macrophages/Dendritic cells,tissue
HLA-DRB6,Macrophages/Dendritic cells,tissue
IFI30,Macrophages/Dendritic cells,tissue
IGSF6,Macrophages/Dendritic cells,tissue
ITGAM,Macrophages/Dendritic cells,tissue
ITGAX,Macrophages/Dendritic cells,tissue
ITGB2,Macrophages/Dendritic cells,tissue
LAIR1,Macrophages/Dendritic cells,tissue
LAPTM5,Macrophages/Dendritic cells,tissue
LILRB4,Macrophages/Dendritic cells,tissue
LIPA,Macrophages/Dendritic cells,tissue
LY96,Macrophages/Dendritic cells,tissue
MAFB,Macrophages/Dendritic cells,tissue
MAN2B1,Macrophages/Dendritic cells,tissue
MFSD1,Macrophages/Dendritic cells,tissue
MNDA,Macrophages/Dendritic cells,tissue
MS4A4A,Macrophages/Dendritic cells,tissue
